date,temperature,tavg,tmax,tmin,prcp,tsun,humidity,weight,activity
2017-01-01,0.0205890780080193,-4.9,-3.0,-6.7,0.0,0,91.98409722222225,52.67111111111112,LOW
2017-01-02,1.8255784118357483,-1.0,0.5,-3.1,0.8,6,92.79472222222222,52.67111111111112,LOW
2017-01-03,3.082556582125604,0.4,2.2,-1.3,0.1,42,91.17347222222224,52.65376729166669,LOW
2017-01-04,3.750071482487922,1.0,2.4,-0.9,1.9,24,91.07791666666668,52.61083458333338,HIGH
2017-01-05,2.259225301932368,-1.8,1.4,-7.0,0.0,96,82.65607638888889,52.62359055555558,HIGH
2017-01-06,-0.9377708484299516,-2.475,-4.7,-6.35,0.0,480,91.54534722222223,52.29232611111112,HIGH
2017-01-07,-2.648781748188405,-1.36875,-4.4,-4.612500000000001,0.1,30,89.07736111111109,52.38475888888891,LOW
2017-01-08,1.812448611111111,-1.1,0.9,-4.5,0.1,0,90.13118055555556,52.64971104166668,LOW
2017-01-09,3.6595248641304345,-0.1,0.9,-0.6,0.0,0,90.16652777777776,52.61831708333337,HIGH
2017-01-10,4.034587016908213,-0.8,1.1,-3.6,0.0,78,86.3720138888889,52.57475145833336,HIGH
2017-01-11,4.752350241545894,1.2,4.5,-1.5,1.1,0,87.87368055555557,52.47550562499999,LOW
2017-01-12,6.899888707729468,3.5,4.8,2.1,3.4,12,84.40236111111112,52.42196722222221,HIGH
2017-01-13,5.965962047101449,2.0,5.8,-1.0,0.4,0,80.83861805555556,52.28511916666667,HIGH
2017-01-14,4.471487167874397,1.0,2.5,-0.4,0.3,30,85.1835486111111,52.18620951388889,LOW
2017-01-15,4.085289598429951,-0.3,2.4,-2.2,0.6,54,87.00312500000001,52.25929944444445,HIGH
2017-01-16,2.929196165458937,-3.4,-1.4,-6.5,0.0,204,89.96993055555556,52.12863590277777,LOW
2017-01-17,2.4983240036231886,-3.0,-0.4,-5.7,0.0,228,87.33236111111113,52.23552902777777,LOW
2017-01-18,3.478641500603865,-3.8,-0.9,-7.4,0.0,402,86.03218055555557,52.081065625,LOW
2017-01-19,3.4917176026570043,-4.6,0.1,-8.8,0.0,504,90.28916666666667,51.85140284722224,HIGH
2017-01-20,5.79679338768116,-2.8,3.5,-8.3,0.0,510,84.8114236111111,51.77167027777779,HIGH
2017-01-21,5.499719806763285,-3.6,1.7,-8.5,0.0,498,83.64284027777778,51.76248118055554,HIGH
2017-01-22,4.857344957729468,-5.4,-0.4,-9.5,0.0,462,86.59881944444443,51.75404333333333,LOW
2017-01-23,2.391013979468599,-4.95,-4.4,-8.225,0.0,432,92.83111111111111,51.7725411111111,LOW
2017-01-24,2.46311038647343,-3.8625,-1.1750000000000005,-8.6,0.0,0,92.5231944444444,51.73702770833335,LOW
2017-01-25,5.01563677536232,-3.8,-1.9,-6.3,0.0,0,91.2834722222222,51.76173284722223,HIGH
2017-01-26,7.914984042874397,-1.3,2.0,-3.7,0.0,438,85.84865277777779,51.657218402777794,HIGH
2017-01-27,7.431986443236716,-2.0,2.9,-6.3,0.0,504,90.18652777777775,51.50350131944444,HIGH
2017-01-28,6.354862711352657,-4.2,-0.3,-7.6,0.0,480,93.07451388888887,51.5229688888889,LOW
2017-01-29,7.13807353562802,-2.7,2.9,-8.1,0.0,402,95.61951388888887,51.44717166666669,LOW
2017-01-30,9.669794595410629,1.2,5.0,-3.5,5.9,0,93.29027777777776,51.45432180555557,LOW
2017-01-31,11.545804830917875,3.0,5.0,0.8,0.0,0,92.24611111111108,51.40508888888889,HIGH
2017-02-01,11.516257518115944,1.8,4.1,0.1,0.4,36,91.214375,51.36237659722223,HIGH
2017-02-02,11.673543131038649,2.8,5.0,1.1,0.1,0,91.32270833333337,51.34662048611112,LOW
2017-02-03,13.33437382246377,4.1,9.1,1.1,0.1,42,93.1325,51.271580138888886,HIGH
2017-02-04,13.32595935990338,4.5,8.0,0.7,1.6,264,91.00638888888886,51.15782506944445,HIGH
2017-02-05,13.96001754227053,4.7,8.6,1.9,0.0,396,92.26645833333332,51.022240416666655,HIGH
2017-02-06,13.178081219806764,3.7,6.9,1.2,0.0,42,91.31576388888888,50.89780555555554,HIGH
2017-02-07,13.103353396739127,2.5,6.0,0.1,0.3,156,91.41222222222224,50.84343381944444,HIGH
2017-02-08,11.534402792874394,0.9,5.0,-1.3,0.0,378,91.62104166666668,50.678775416666674,HIGH
2017-02-09,8.577688919082126,-1.5,0.4,-3.8,0.0,0,90.10069444444444,50.61381937500001,LOW
2017-02-10,9.825184797705315,-0.2,0.8,-1.1,0.0,0,90.22208333333334,50.57008694444442,LOW
2017-02-11,11.884489341787438,1.4,7.1,-2.9,0.0,486,92.74763888888889,50.442068958333344,HIGH
2017-02-12,9.871825875603866,0.4,1.3,-1.1,0.0,0,93.3114583333333,50.378403194444445,LOW
2017-02-13,12.872558318236711,3.1,9.4,0.3,0.0,414,88.40116666666667,50.21208486111109,HIGH
2017-02-14,12.09538860205314,3.3,9.4,-1.5,0.0,564,87.62848611111112,50.07613048611108,HIGH
2017-02-15,10.318743900966185,2.3,9.1,-3.4,0.0,552,86.88378472222222,50.012841319444426,HIGH
2017-02-16,10.19380569142512,3.1,10.3,-2.0,1.8,240,88.35095138888887,49.91633402777782,HIGH
2017-02-17,10.494512817028989,5.9,8.8,3.3,1.1,156,88.26125000000002,49.9738479861111,LOW
2017-02-18,10.44902942330918,5.4,7.6,1.3,0.0,0,88.64270833333336,49.95848416666664,LOW
2017-02-19,9.17893025362319,2.7,7.6,-2.5,0.1,108,89.65784722222223,49.92752361111109,HIGH
2017-02-20,11.091452596618357,6.6,8.7,4.3,1.7,0,89.29090277777776,49.88387097222224,LOW
2017-02-21,13.718310537439612,4.65,11.3,0.8999999999999999,1.9,0,92.61104166666668,49.88130034722224,HIGH
2017-02-22,13.331340277777777,9.3,10.0,8.6,0.8,0,91.62465277777778,49.80722333333333,LOW
2017-02-23,13.667048082729467,9.7,15.0,6.3,1.2,174,84.51845138888889,49.72004104166667,HIGH
2017-02-24,10.198873746980675,5.2,8.5,1.2,0.0,372,73.23195833333334,49.57897201388888,LOW
2017-02-25,9.17282958937198,7.95,9.9,4.05,0.0,354,82.89356250000002,49.56743791666671,LOW
2017-02-26,12.60358337862319,7.2,13.3,2.2,0.0,372,77.23838888888888,49.439744097222224,HIGH
2017-02-27,16.136165760869563,9.7,15.1,6.5,7.8,294,75.81672916666668,49.25202361111112,HIGH
2017-02-28,10.659617149758454,5.6,9.2,3.4,2.4,174,81.14340277777778,49.19130715277775,LOW
2017-03-01,9.2981514794686,5.5,9.3,3.0,2.4,78,81.48640972222223,49.160902222222205,LOW
2017-03-02,11.01928070652174,7.9,10.5,5.7,0.0,342,72.08386111111112,49.109659444444446,LOW
2017-03-03,11.57625526871981,6.6,11.2,1.7,0.0,288,72.54627777777776,49.0541117361111,HIGH
2017-03-04,13.96123932669082,8.7,16.5,1.0,0.0,402,75.9237777777778,48.94353020833336,HIGH
2017-03-05,13.079030495169084,7.7,12.5,4.6,2.6,180,76.15171527777777,48.83714923611112,HIGH
2017-03-06,10.354058680555555,5.4,8.5,4.1,2.2,18,83.55777777777779,48.83859944444445,LOW
2017-03-07,10.25522389794686,5.3,8.6,3.2,0.1,156,85.71404166666667,48.78578868055556,LOW
2017-03-08,9.776312439613523,5.1,8.5,1.2,5.1,0,84.96403472222222,48.80949944444449,LOW
2017-03-09,13.92908375603865,8.9,14.0,6.0,8.3,72,87.45196527777779,48.77778701388891,HIGH
2017-03-10,13.229694972826088,6.7,10.4,1.1,0.0,252,78.58217361111112,48.61769083333334,HIGH
2017-03-11,12.255011624396134,5.1,11.6,1.6,0.0,348,81.36616666666667,48.596617986111134,HIGH
2017-03-12,12.799247146739134,5.8,12.4,0.0,0.0,642,78.1363888888889,48.44709354166667,HIGH
2017-03-13,12.645031174516909,5.2,11.5,1.4,0.0,462,78.90818055555555,48.4451588888889,LOW
2017-03-14,14.358208997584542,7.7,15.0,0.0,0.0,528,79.6541111111111,48.43288319444445,HIGH
2017-03-15,16.30586092995169,9.2,14.1,4.0,0.0,144,84.38550694444443,48.64538631944444,HIGH
2017-03-16,17.97445307971015,9.4,16.7,2.3,0.0,642,86.82486805555556,48.818684583333344,HIGH
2017-03-17,16.99588574879227,9.0,14.5,2.7,2.0,294,80.96656250000001,49.09600805555556,LOW
2017-03-18,15.601010869565217,8.4,10.3,6.4,13.3,6,86.136375,49.03837909722224,LOW
2017-03-19,18.249475845410625,10.6,13.5,7.9,0.3,42,89.90055555555556,49.028634791666654,LOW
2017-03-20,18.09347584541064,11.1,13.5,8.7,0.0,30,80.17863194444443,48.944433263888925,HIGH
2017-03-21,17.19790652173913,9.0,11.7,5.1,5.1,0,81.3509375,48.849176458333325,LOW
2017-03-22,16.17523028381643,6.0,7.2,4.6,0.1,6,85.96333333333332,48.69548545277778,LOW
2017-03-23,18.441914824879227,8.5,13.6,5.6,0.0,72,90.18305555555555,48.70176000000003,HIGH
2017-03-24,19.956078570350243,8.2,12.8,5.0,0.0,198,87.43638888888887,48.59887000000001,LOW
2017-03-25,19.12114320652174,9.1,15.8,2.8,0.0,684,81.4155138888889,48.5337770138889,HIGH
2017-03-27,20.791013934178743,10.0,17.9,2.2,0.0,738,74.30504166666667,48.26997944444445,LOW
2017-03-28,21.529683182367148,11.9,17.924999999999997,1.5,0.0,726,72.5793888888889,48.24216868055556,HIGH
2017-03-29,22.91374018719807,12.875,18.7,8.7,0.0,504,66.16290972222221,48.23258972222221,LOW
2017-03-30,24.771307820048307,12.95888671875,20.2,7.2,0.0,630,71.54994444444445,48.313874236111104,HIGH
2017-03-31,25.35666138285025,13.1536865234375,20.05,7.0,0.0,636,72.01129166666666,48.58686034722223,HIGH
2017-04-01,24.93284827898552,13.053143310546876,19.4375,6.9,0.0,576,71.05686111111112,48.84514694444446,HIGH
2017-04-02,24.27570214371981,12.126707458496094,18.7,6.55,0.0,312,78.14608333333332,49.01119993055556,LOW
2017-04-03,24.06855374396135,12.7,18.8,7.6,0.0,366,80.55461111111111,49.27333333333332,HIGH
2017-04-04,23.01762182971015,9.6,15.9,4.7,0.0,312,84.74297916666667,49.41834208333333,LOW
2017-04-05,22.363031370772948,9.7,14.7,3.6,0.0,402,85.13347222222222,49.46749743055556,LOW
2017-04-06,22.250142934782613,8.3,12.8,5.1,0.0,336,88.2917638888889,49.54292395833334,LOW
2017-04-07,21.532442934782605,8.6,11.0,5.7,0.0,72,93.43597222222223,49.69633326388888,LOW
2017-04-08,24.54316681763285,10.8,15.3,5.8,0.0,192,94.00743055555556,49.66403534722226,HIGH
2017-04-09,25.407656853864736,11.7,16.0,2.3,0.0,702,93.32718055555556,49.8926908333333,HIGH
2017-04-10,25.41657321859903,10.85,15.675,5.0,0.0,600,88.53972916666665,50.507969444444434,HIGH
2017-04-11,23.51427521135265,8.9,13.7,5.1,0.0,366,95.15,50.83435347222223,LOW
2017-04-12,23.360267964975847,12.0,17.7,4.5,0.0,222,86.29945138888888,50.71590166666666,LOW
2017-04-13,23.01099290458937,10.9,14.1,6.3,0.4,120,82.08693055555555,50.39096520833334,LOW
2017-04-14,23.00374486714976,10.0,15.4,5.0,0.0,276,83.11576388888886,50.29950111111111,HIGH
2017-04-15,22.288911382850245,10.0,13.6,6.4,0.9,0,80.94511805555555,50.27352187499999,LOW
2017-04-16,21.055404770531403,7.1,10.5,5.0,1.1,114,84.52245833333335,50.09775256944443,HIGH
2017-04-17,20.87115407608696,5.1,8.8,2.5,16.5,84,91.22213194444444,49.87228173611109,LOW
2017-04-18,20.0547080615942,3.9,9.1,0.8,0.3,300,92.431875,49.532529375,LOW
2017-04-19,19.70535483091788,2.9,6.5,-0.4,0.1,264,89.73450694444443,49.73555958333333,LOW
2017-04-20,21.25562563405797,4.2,10.6,-1.9,0.0,750,87.4157013888889,49.41159812500001,HIGH
2017-04-21,22.10890009057971,8.6,15.1,0.9,0.0,462,83.52697916666668,49.53135402777779,HIGH
2017-04-22,22.054025815217383,9.0,11.3,5.6,0.8,96,83.00226388888892,49.37149784722222,LOW
2017-04-23,20.733208212560385,6.3,10.1,1.9,0.0,216,81.55162500000002,49.296254652777776,LOW
2017-04-24,22.89175416666667,8.8,16.4,-0.7,0.0,750,79.64452083333333,49.15614124999999,HIGH
2017-04-25,21.97622509057972,7.9,13.1,5.4,0.0,96,86.15864583333335,49.14893534722221,LOW
2017-04-26,21.8860809178744,6.3,9.3,4.4,0.7,96,92.37432638888886,49.08451958333334,LOW
2017-04-27,21.854653381642507,6.8,10.6,4.8,0.1,84,93.58946527777778,49.0757723611111,LOW
2017-04-28,22.534357940821256,8.3,13.8,4.3,0.0,528,88.03443749999998,48.95585347222224,HIGH
