date,tavg,tmin,tmax,prcp,tsun
2017-01-01,3.9,2.3,5.0,1.0,0
2017-01-02,1.8,0.1,3.3,1.4,291
2017-01-03,4.6,1.8,7.5,9.6,0
2017-01-04,3.5,-0.8,5.4,1.0,116
2017-01-05,-3.5,-8.2,-0.2,0.0,321
2017-01-06,-6.4,-10.4,-3.3,0.0,400
2017-01-07,-2.1,-5.0,0.9,0.7,0
2017-01-08,1.4,0.4,2.1,0.0,0
2017-01-09,0.9,0.2,2.1,0.0,36
2017-01-10,1.2,-0.1,1.9,0.0,7
2017-01-11,3.1,1.4,5.8,12.7,9
2017-01-12,2.8,0.9,5.1,7.6,84
2017-01-13,1.2,-0.3,2.7,3.6,95
2017-01-14,1.2,-0.1,3.0,0.3,346
2017-01-15,0.0,-5.1,1.7,0.2,36
2017-01-16,-3.1,-6.2,1.5,0.0,406
2017-01-17,-1.1,-3.9,1.9,0.0,95
2017-01-18,-1.3,-2.6,-0.3,0.0,0
2017-01-19,-0.1,-2.0,1.4,0.1,0
2017-01-20,1.5,-0.4,2.4,0.0,0
2017-01-21,3.0,0.5,4.8,0.0,1
2017-01-22,0.6,-1.3,2.2,0.0,0
2017-01-23,-0.4,-1.7,0.9,0.0,0
2017-01-24,0.4,-0.5,1.3,0.0,0
2017-01-25,-1.0,-1.8,-0.2,0.0,0
2017-01-26,0.2,-1.8,3.0,0.0,181
2017-01-27,-0.2,-3.3,2.5,0.0,446
2017-01-28,-0.8,-4.2,3.2,0.5,453
2017-01-29,3.0,-3.8,5.1,0.8,26
2017-01-30,1.4,0.5,2.7,8.8,0
2017-01-31,1.2,0.6,1.9,0.0,0
2017-02-01,0.7,-0.2,1.5,0.0,0
2017-02-02,0.6,-0.4,1.6,0.0,0
2017-02-03,1.1,0.2,2.7,0.8,0
2017-02-04,4.6,2.0,6.4,0.0,33
2017-02-05,1.9,0.3,3.2,0.1,0
2017-02-06,1.2,-1.1,3.3,0.1,36
2017-02-07,-0.3,-1.9,0.9,0.1,0
2017-02-08,-2.8,-4.6,-1.8,0.0,0
2017-02-09,-3.4,-5.9,-1.8,0.0,59
2017-02-10,-3.8,-5.7,-1.4,0.0,112
2017-02-11,-2.1,-4.1,-0.7,0.2,0
2017-02-12,-1.0,-4.9,0.8,0.0,29
2017-02-13,-3.0,-6.5,1.8,0.0,512
2017-02-14,-1.8,-7.1,3.7,0.0,359
2017-02-15,1.3,-6.2,8.8,0.0,531
2017-02-16,5.0,-2.6,9.0,0.9,259
2017-02-17,5.2,4.3,6.7,0.6,11
2017-02-18,3.9,2.1,4.8,0.0,0
2017-02-19,4.5,2.5,6.0,1.7,0
2017-02-20,7.5,5.3,9.5,2.4,0
2017-02-21,6.6,3.7,9.4,8.1,187
2017-02-22,7.6,5.0,9.4,6.8,6
2017-02-23,5.7,3.5,8.6,13.6,0
2017-02-24,2.8,0.5,6.7,0.6,316
2017-02-25,2.6,-0.2,5.3,4.1,9
2017-02-26,6.9,5.1,8.7,0.8,0
2017-02-27,9.8,8.5,11.7,0.5,0
2017-02-28,6.2,2.8,9.9,1.2,130
2017-03-01,4.2,1.5,6.8,4.7,122
2017-03-02,4.6,2.1,7.3,3.1,76
2017-03-03,5.8,2.0,10.0,0.8,432
2017-03-04,8.0,2.9,12.4,1.1,77
2017-03-05,7.4,1.8,10.1,2.3,32
