date,tavg,tmin,tmax,prcp,tsun
2017-01-01,-4.9,-6.7,-3.0,0.0,0
2017-01-02,-1.0,-3.1,0.5,0.8,6
2017-01-03,0.4,-1.3,2.2,0.1,42
2017-01-04,1.0,-0.9,2.4,1.9,24
2017-01-05,-1.8,-7.0,1.4,0.0,96
2017-01-06,-8.5,-12.3,-4.7,0.0,480
2017-01-07,-8.0,-13.0,-4.4,0.1,30
2017-01-08,-1.1,-4.5,0.9,0.1,0
2017-01-09,-0.1,-0.6,0.9,0.0,0
2017-01-10,-0.8,-3.6,1.1,0.0,78
2017-01-11,1.2,-1.5,4.5,1.1,0
2017-01-12,3.5,2.1,4.8,3.4,12
2017-01-13,2.0,-1.0,5.8,0.4,0
2017-01-14,1.0,-0.4,2.5,0.3,30
2017-01-15,-0.3,-2.2,2.4,0.6,54
2017-01-16,-3.4,-6.5,-1.4,0.0,204
2017-01-17,-3.0,-5.7,-0.4,0.0,228
2017-01-18,-3.8,-7.4,-0.9,0.0,402
2017-01-19,-4.6,-8.8,0.1,0.0,504
2017-01-20,-2.8,-8.3,3.5,0.0,510
2017-01-21,-3.6,-8.5,1.7,0.0,498
2017-01-22,-5.4,-9.5,-0.4,0.0,462
2017-01-23,-9.0,-12.6,-4.4,0.0,432
2017-01-24,-7.0,-8.6,-5.5,0.0,0
2017-01-25,-3.8,-6.3,-1.9,0.0,0
2017-01-26,-1.3,-3.7,2.0,0.0,438
2017-01-27,-2.0,-6.3,2.9,0.0,504
2017-01-28,-4.2,-7.6,-0.3,0.0,480
2017-01-29,-2.7,-8.1,2.9,0.0,402
2017-01-30,1.2,-3.5,5.0,5.9,0
2017-01-31,3.0,0.8,5.0,0.0,0
2017-02-01,1.8,0.1,4.1,0.4,36
2017-02-02,2.8,1.1,5.0,0.1,0
2017-02-03,4.1,1.1,9.1,0.1,42
2017-02-04,4.5,0.7,8.0,1.6,264
2017-02-05,4.7,1.9,8.6,0.0,396
2017-02-06,3.7,1.2,6.9,0.0,42
2017-02-07,2.5,0.1,6.0,0.3,156
2017-02-08,0.9,-1.3,5.0,0.0,378
2017-02-09,-1.5,-3.8,0.4,0.0,0
2017-02-10,-0.2,-1.1,0.8,0.0,0
2017-02-11,1.4,-2.9,7.1,0.0,486
2017-02-12,0.4,-1.1,1.3,0.0,0
2017-02-13,3.1,0.3,9.4,0.0,414
2017-02-14,3.3,-1.5,9.4,0.0,564
2017-02-15,2.3,-3.4,9.1,0.0,552
2017-02-16,3.1,-2.0,10.3,1.8,240
2017-02-17,5.9,3.3,8.8,1.1,156
2017-02-18,5.4,1.3,7.6,0.0,0
2017-02-19,2.7,-2.5,7.6,0.1,108
2017-02-20,6.6,4.3,8.7,1.7,0
2017-02-21,9.3,7.7,11.3,1.9,0
2017-02-22,9.3,8.6,10.0,0.8,0
2017-02-23,9.7,6.3,15.0,1.2,174
2017-02-24,5.2,1.2,8.5,0.0,372
2017-02-25,3.2,-2.4,9.9,0.0,354
2017-02-26,7.2,2.2,13.3,0.0,372
2017-02-27,9.7,6.5,15.1,7.8,294
2017-02-28,5.6,3.4,9.2,2.4,174
2017-03-01,5.5,3.0,9.3,2.4,78
2017-03-02,7.9,5.7,10.5,0.0,342
2017-03-03,6.6,1.7,11.2,0.0,288
2017-03-04,8.7,1.0,16.5,0.0,402
2017-03-05,7.7,4.6,12.5,2.6,180
2017-03-06,5.4,4.1,8.5,2.2,18
2017-03-07,5.3,3.2,8.6,0.1,156
